"State","Intercept"
"arkansas",-5.58264957475431
"colorado",36.3297755642152
"illinois",12.4562377965782
"indiana",4.45650209121546
"iowa",12.7515887891558
"kansas",5.33288394522851
"kentucky",-9.34723254191089
"michigan",-6.23952892478469
"minnesota",8.02622498633044
"missouri",-13.1624090435664
"nebraska",23.5128877089197
"north dakota",-14.0517730459878
"ohio",1.97940839160354
"pennsylvania",-17.3198746380168
"south dakota",-10.4217946600202
"tennessee",-20.349502674269
"texas",-6.32596500772077
"wisconsin",-2.04477916114125
